 t [day]	Mdot [M_\odot yr^-1]
25.65670138892118	0.0015079740935092223
26.368863786169047	0.010496094439681945
28.505350977912634	0.03330631590151589
30.285756971032285	0.05138325803785085
32.7783253613998	0.07717838505034759
35.44893435107929	0.10297319879044295
37.26494846406134	0.11743602997704976
39.15217881676817	0.12887391885736552
41.71596344686047	0.13857874354088473
44.83167393481987	0.14354049600905008
46.93255300670107	0.144224074827175
49.15806049810063	0.14321831620613987
51.04529085080747	0.1409372643863862
53.146169922688664	0.13673429700514592
55.282657114432254	0.13070557253448659
58.00667828305073	0.12091498199635774
61.38944966912348	0.10678059284443175
62.79597040368801	0.10065535973380155
65.00367383515638	0.09111049873935628
67.10455290703757	0.08235369833182794
69.0719015294348	0.07461076750144086
71.74251051911428	0.06497098622495695
74.208372819585	0.057037484095730714
76.54070467057176	0.050392439350007
78.00063758492986	0.04664201087896707
79.96798620732709	0.04205737378149368
82.15788557886425	0.037541817059129935
85.12226155740849	0.03231041960144656
87.68604618750078	0.028497280339730334
91.46050689291447	0.02388233580664098
92.42192612919908	0.022869611416944765
96.76611675241104	0.018968699562433803
97.22902231062214	0.01861024057678844
101.43078045438453	0.015766558775056345
103.42483516667855	0.014639043742339269
103.85213260502726	0.014413342711899948
106.13105227622043	0.013294754721114747
110.54645913915718	0.011475842797868965
112.82537881035033	0.010684066118364439
115.10429848154348	0.00997428323649832
117.38321815273665	0.00933533731342089
118.52267798833324	0.009039425309657281
121.94105749512299	0.008233749039427236
124.21997716631614	0.007756419544180312
126.49889683750929	0.007320116195398091
128.77781650870247	0.006919989184896334
131.0567361798956	0.006551904741221578
133.33565585108877	0.006212327691773139
135.61457552228194	0.005898223657315687
137.8934951934751	0.005606977737155933
140.17241486466824	0.005336326984574692
142.4513345358614	0.005084304372958694
144.73025420705457	0.004849192308926074
147.00917387824774	0.004629484059376975
149.28809354944087	0.004423851727043721
151.56701322063407	0.004231119637475406
153.8459328918272	0.004050242193653261
156.12485256302037	0.003880285416917268
158.40377223421353	0.0037204115288455688
164.10107141219643	0.003360064145762104
173.21675009696906	0.002881061114883101
183.4718886173383	0.0024535999353309697
196.00594680890066	0.0020492133798681355
210.81892467165622	0.0016905045957151103
229.05028204120148	0.0013690793089589548
251.83947875313305	0.0010864794328226234
280.3259746430476	0.0008450618550905987
317.92814921773464	0.0006335308445410562
372.6222213263705	0.00044008978213430687
456.94224916051735	0.00027022864457874424
606.2114876293666	0.0001299075737505682
