 t [day]	Mdot [M_\odot yr^-1]
5.725647430076206	0.01313381179368769
6.159621390870635	0.01855165889675275
6.373270110044993	0.021572794248331247
6.736027831143123	0.029634175174255196
7.399229063580195	0.07635068731554284
7.394778048597396	0.07583116233213383
8.026822176154873	0.1696383084740714
8.547590929142373	0.2573690380631548
8.850259947972715	0.31031066326720286
10.4704294017116	0.73148024766557
11.823537956482541	1.3818527862075654
11.81463592651694	1.3766017812282787
12.250835394831256	1.6482090146933164
12.602465578472389	1.8874869492395068
13.274568840875059	2.3900547746814795
13.982280223140123	2.972315347363271
14.340586929255453	3.2825486626893468
14.55646115592121	3.472930960814803
14.787913935026767	3.679008665772981
16.281229461755878	4.98571416975561
16.40808338876565	5.088398521934292
17.067946359965624	5.578417150794085
17.472988723400345	5.832333081080723
17.84909948944687	6.028616107488298
18.12506241838042	6.145776489366705
18.37765751865427	6.231900986657549
18.658071462570614	6.303220283738126
18.960740481400958	6.351379515476759
19.31570892627919	6.370568039039895
19.470381696931458	6.36683943207282
19.754133902084902	6.342047431874176
20.170303802976623	6.2672724921739995
20.39174179837088	6.2110146353496205
20.548640076514552	6.16506737066694
20.831279527922295	6.07106335999308
21.092776658161746	5.973040060917822
21.352048280909795	5.8672805932143115
21.671408605925635	5.7278589098089725
21.927341967436583	5.610709745794383
22.216657941318527	5.474338696958387
22.45478724289828	5.360137364097994
22.736313940560326	5.2240739310131366
22.948849905988983	5.12128540494013
23.17918993134884	5.0103799769554715
23.476295181450684	4.868815855870872
23.980372628252688	4.634510038451049
24.129481630176457	4.566964924436023
24.427699634024002	4.434634332815699
24.720353869143043	4.308586273888255
24.970723461925495	4.203896102723696
25.189935949828353	4.114676931473985
25.436967281373704	4.01690058627238
25.726283255255648	3.9061205264380088
26.03340328906879	3.792897737301618
26.376131442744324	3.6717744119449027
26.758918731265048	3.542830156495813
27.037107167689996	3.4531749602402155
27.407654165008022	3.33884285956767
27.77486290108895	3.2310262755686505
28.133169607204284	3.130822919732601
28.46477022342282	3.0422634583133514
28.705125032493974	2.980464728921794
28.996666513867318	2.908083822457007
29.364988003693945	2.820493157428088
29.940281690220736	2.6917336426243836
30.526702914204524	2.569782006411347
31.123138921899606	2.4544966014297955
31.60496129378761	2.367250170005571
32.73218083818149	2.1814094905995445
33.925052853571664	2.0088527891855312
34.30450188085529	1.9584847612086564
34.584915824771635	1.9225401600540084
34.810804835148694	1.894340927997394
35.2959654682738	1.8359496547614635
35.7967046538387	1.7786216448826446
36.3174734068262	1.7219511107096854
36.35308152668859	1.718180829722162
36.68356938916143	1.6838015243536721
37.00181696043157	1.6517109185498902
37.30337322551621	1.622184425252633
37.57488513946696	1.5963048205066488
37.873103143314495	1.5686209170592964
38.15129157973944	1.5434707689919374
38.476215673483786	1.5148884276514498
38.68763888516674	1.496733655333361
38.99698442647128	1.4707782379838161
39.306329967775824	1.4455205833293863
39.54000825437278	1.4268877464076168
39.78481407842673	1.407766949955113
40.04742396241188	1.3876964379217689
40.31893587636262	1.3674106856929535
40.72397823979735	1.3379952026634938
40.9821371087997	1.3197569562989278
41.409434547148415	1.2904060466193197
41.511807891752795	1.2835243130133527
41.81447691058314	1.2635074396832726
42.188362169138266	1.2394402500037836
42.450972053123415	1.2229567270647947
42.74919005697095	1.204644922131022
43.0296040008873	1.187809041587374
43.30334142232945	1.1717209017139836
43.63716754603938	1.1525504881196345
43.910904967481535	1.1371877869007905
44.037758894491304	1.1301747843901737
44.29369225600226	1.1162260187703958
44.603037797306804	1.0997152065077713
45.18389525256208	1.0697051098012593
45.223954387407275	1.0676816846097592
45.46208368898703	1.05577315612526
45.733595602937775	1.042440504875889
46.03403911427672	1.027983689983055
46.38566929791785	1.0114476631599865
46.748427019015985	0.9948079932482229
47.155694889942104	0.9766164064154268
47.46726593873804	0.9630372220669391
47.7053952403178	0.9528504149395596
48.10376108127832	0.9361691462422823
48.646784909179814	0.9141306135767204
48.86043362835417	0.9056734099663658
49.17200467715011	0.8935493745440509
49.54588993570525	0.8793197051111055
49.92645171673457	0.8651823141656925
50.17570855577132	0.8561065836704655
50.43164191728227	0.8469352851478635
50.75434050353521	0.8355794683673877
51.15048083700433	0.8219476371705503
51.44869884085187	0.8119033091668427
51.916055414045786	0.7965264188513435
52.3188722699891	0.7836183252903595
52.61263925885385	0.7743998644652379
53.04438771218537	0.7611411592157149
53.43385152318029	0.7494678813162116
53.78548170682142	0.7391550461264396
54.13933739795395	0.7289876301312664
54.53102671644028	0.7179725328130518
54.87152936262441	0.7085955488677893
55.33888593581832	0.6960167589598736
55.728349746813244	0.6857843144677254
56.13339211024796	0.6753759040594604
56.61410172839027	0.663322002400207
57.30400905015442	0.6465675705280318
57.272851944705096	0.6473107548115619
57.704600398036604	0.6371228258787548
58.22536915102411	0.6251441541412447
58.52358715487165	0.6184325904721096
58.80845211377079	0.6121195744168725
59.14672925246353	0.6047445784048691
59.487231898647664	0.5974515077881684
59.776547872529605	0.591355309714986
60.02803021905775	0.5861298103106383
60.3128951779569	0.5802916694485584
60.579956076924844	0.5748951293204988
60.88262509575518	0.5688670590899987
61.3277265940351	0.5601682400484204
61.755024032383815	0.5519984087292792
62.18677248571534	0.5439183992570078
62.62297195402965	0.5359285759850881
62.743149358565226	0.5337572741281387
62.974602137670786	0.5296113669532194
63.22385897670754	0.5251986490667859
63.50872393560668	0.5202206146304057
63.998335583714585	0.5118232386464383
64.20753328790614	0.5082951397609353
64.49684926178809	0.503473684368749
64.9464017750508	0.49611241450217575
64.95085279003361	0.49604031233616763
